City,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Population,Prev,Growth
Geneva,Switzerland,2.8,12.94,10.49,1.28,2607.95,3917.72,83.27,61.22,74.88,29.43,82.76,54.36,613373.0,606436.0,0.0114
Basel,Switzerland,3.5,11.89,7.35,1.25,1649.29,3847.76,84.2,78.17,79.74,59.18,88.27,28.12,559027.0,555469.0,0.0064
Perth,Australia,2.87,11.43,10.08,0.97,2083.14,3358.55,95.38,62.11,80.56,23.53,74.62,50.01,2041959.0,2016415.0,0.0127
Nashville,United States,3.84,12.0,13.5,0.65,2257.14,3089.75,80.61,80.3,60.3,0.0,80.5,25.5,673167.0,671110.0,0.0031
Adelaide,Australia,2.49,11.42,10.08,0.95,1382.26,2911.69,87.29,72.03,56.25,12.01,91.54,41.32,1336403.0,1328119.0,0.0062
Ottawa,Canada,2.39,7.65,9.56,0.8,1020.02,2900.68,87.69,91.85,66.02,33.55,86.11,22.25,1393086.0,1378151.0,0.0108
Oslo,Norway,3.36,11.2,12.32,1.57,2016.66,2800.92,82.09,52.51,88.19,29.39,71.27,35.53,1041377.0,1026758.0,0.0142
Doha,Qatar,2.78,6.28,14.32,0.18,2221.74,2775.58,90.73,81.96,68.06,83.45,80.28,27.17,641380.0,637347.0,0.0063
Sydney,Australia,2.35,12.1,10.75,1.0,2788.71,2755.12,94.53,54.82,71.27,18.48,74.32,32.8,4925987.0,4859432.0,0.0137
Gold Coast,Australia,2.69,10.08,8.06,0.98,1310.36,2687.92,82.03,56.11,82.23,30.55,81.31,43.02,699226.0,687460.0,0.0171
Melbourne,Australia,2.35,12.1,10.08,0.95,2073.06,2623.41,92.58,55.48,76.67,30.28,68.99,48.75,4967733.0,4870388.0,0.02
Brisbane,Australia,2.69,10.08,10.08,0.99,2351.93,2603.92,87.63,53.72,88.89,22.19,77.07,45.84,2406182.0,2372335.0,0.0143
New York,United States,2.58,8.5,9.81,0.69,3268.84,2530.09,90.53,55.56,51.39,12.01,61.94,47.33,8323340.0,8361040.0,-0.0045
Boston,United States,2.62,7.85,7.85,0.65,2288.19,2451.63,82.2,59.28,78.04,61.77,82.81,40.69,710195.0,702389.0,0.0111
The Hague,Netherlands,2.26,8.1,4.05,1.52,1363.97,2386.95,83.23,68.28,66.74,37.21,79.99,29.76,697564.0,691389.0,0.0089
Seattle,United States,2.45,7.11,7.52,0.66,1634.42,2373.83,85.38,78.46,75.46,32.9,84.1,42.03,783137.0,764046.0,0.025
Dubai,United Arab Emirates,2.62,6.23,12.77,0.31,1981.57,2313.91,98.44,69.64,67.78,30.81,85.16,19.36,2878344.0,2833079.0,0.016
Gothenburg,Sweden,3.3,10.76,8.01,1.44,1001.25,2302.88,74.63,26.95,68.24,92.42,71.51,25.62,610521.0,603065.0,0.0124
Atlanta,United States,2.21,6.37,6.53,0.61,1046.03,2288.19,84.92,80.83,61.11,63.09,80.51,56.04,523738.0,510891.0,0.0251
